x, y, z, c
0.80000013,-0.29999992,0.100000076 ,1799
0.90000015,-0.29999992,0.100000076 ,1799
1.0000001,-0.29999992,0.100000076 ,1542
-1.0,-0.19999993,0.100000076 ,2570
-0.9,-0.19999993,0.100000076 ,2570
-0.79999995,-0.19999993,0.100000076 ,2313
-0.6999999,-0.19999993,0.100000076 ,65792
-0.5999999,-0.19999993,0.100000076 ,65792
-0.4999999,-0.19999993,0.100000076 ,65792
-0.39999992,-0.19999993,0.100000076 ,65792
-0.29999992,-0.19999993,0.100000076 ,65792
-0.19999993,-0.19999993,0.100000076 ,65792
-9.999993e-2,-0.19999993,0.100000076 ,65792
7.4505806e-8,-0.19999993,0.100000076 ,65792
0.100000076,-0.19999993,0.100000076 ,65792
0.50000006,-0.29999992,0.100000076 ,65792
0.6000001,-0.29999992,0.100000076 ,65792
0.7000001,-0.29999992,0.100000076 ,5911
0.80000013,-0.29999992,0.100000076 ,1799
0.90000015,-0.29999992,0.100000076 ,1799
1.0000001,-0.29999992,0.100000076 ,1542
-1.0,-0.19999993,0.100000076 ,2570
-0.9,-0.19999993,0.100000076 ,2570
-0.79999995,-0.19999993,0.100000076 ,2313
-0.39999992,-0.29999992,0.100000076 ,65792
-0.29999992,-0.29999992,0.100000076 ,65792
-0.19999993,-0.29999992,0.100000076 ,65792
-9.999993e-2,-0.29999992,0.100000076 ,65792
7.4505806e-8,-0.29999992,0.100000076 ,65792
0.100000076,-0.29999992,0.100000076 ,65792
0.20000008,-0.29999992,0.100000076 ,65792
0.30000007,-0.29999992,0.100000076 ,65792
0.40000007,-0.29999992,0.100000076 ,65792
-0.39999992,-0.29999992,0.100000076 ,65792
-0.29999992,-0.29999992,0.100000076 ,65792
-0.19999993,-0.29999992,0.100000076 ,65792
-9.999993e-2,-0.29999992,0.100000076 ,65792
7.4505806e-8,-0.29999992,0.100000076 ,65792
0.100000076,-0.29999992,0.100000076 ,65792
0.20000008,-0.29999992,0.100000076 ,65792
0.30000007,-0.29999992,0.100000076 ,65792
